epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,122.316,1.29599,0.62784,0.91407,0.15791,0.81477,0.20285,0.07585,2.26463,3.09731,1.05576,0.000823063,0.000823063,0.000823063
71,123.909,1.27339,0.60789,0.92617,0.25937,0.37872,0.22238,0.07874,2.22653,2.93018,1.05128,0.000816875,0.000816875,0.000816875
72,125.565,1.2013,0.57301,0.8995,0.23663,0.32502,0.20978,0.07869,2.21233,2.95334,1.05238,0.000810688,0.000810688,0.000810688
73,127.174,1.24003,0.5874,0.89638,0.24131,0.34957,0.20375,0.07361,2.25922,3.05642,1.06063,0.0008045,0.0008045,0.0008045
74,128.774,1.23841,0.56457,0.90315,0.2288,0.34693,0.22615,0.08636,2.19959,2.74804,1.04871,0.000798313,0.000798313,0.000798313
75,130.383,1.23667,0.59141,0.89859,0.21968,0.5069,0.22437,0.08229,2.2535,2.74721,1.05832,0.000792125,0.000792125,0.000792125
76,132.008,1.2282,0.60738,0.89415,0.20588,0.34977,0.22347,0.08587,2.22411,2.7813,1.05695,0.000785938,0.000785938,0.000785938
77,133.601,1.17909,0.57073,0.90091,0.2148,0.37234,0.22928,0.09007,2.17711,2.71076,1.04925,0.00077975,0.00077975,0.00077975
78,135.241,1.23562,0.59492,0.90397,0.14614,0.81506,0.21087,0.07906,2.27224,2.7223,1.07772,0.000773563,0.000773563,0.000773563
79,136.803,1.27389,0.59554,0.91068,0.19512,0.49773,0.21627,0.08551,2.28219,2.69207,1.07491,0.000767375,0.000767375,0.000767375
80,138.412,1.25654,0.59832,0.9081,0.21539,0.42873,0.22852,0.08199,2.24479,2.42187,1.07353,0.000761188,0.000761188,0.000761188
81,140.006,1.2306,0.58746,0.90701,0.19153,0.37572,0.22606,0.08145,2.28002,2.43169,1.0763,0.000755,0.000755,0.000755
82,141.604,1.2043,0.56925,0.91619,0.1841,0.44627,0.2171,0.08241,2.22803,2.68751,1.06457,0.000748813,0.000748813,0.000748813
83,143.229,1.23801,0.57296,0.89561,0.18848,0.35106,0.22475,0.07896,2.2695,2.77362,1.07702,0.000742625,0.000742625,0.000742625
84,144.854,1.23155,0.56864,0.91314,0.15101,0.81797,0.22208,0.08031,2.23366,2.81135,1.06858,0.000736438,0.000736438,0.000736438
85,146.447,1.21216,0.57372,0.89453,0.1605,0.80639,0.22543,0.08201,2.17404,2.92733,1.05104,0.00073025,0.00073025,0.00073025
86,148.087,1.15785,0.58733,0.89228,0.15157,0.74591,0.17984,0.07042,2.16809,3.23393,1.04068,0.000724062,0.000724062,0.000724062
87,149.649,1.15308,0.55834,0.87443,0.14652,0.71626,0.16328,0.06715,2.20624,3.60014,1.05266,0.000717875,0.000717875,0.000717875
88,151.227,1.18224,0.58026,0.88053,0.15344,0.72336,0.16287,0.06976,2.20449,3.84442,1.04475,0.000711687,0.000711687,0.000711687
89,152.805,1.14632,0.54024,0.89031,0.1603,0.72336,0.17042,0.07049,2.23019,3.87203,1.04657,0.0007055,0.0007055,0.0007055
90,154.383,1.14226,0.5467,0.87533,0.15269,0.63234,0.1529,0.06241,2.24366,3.89217,1.04672,0.000699312,0.000699312,0.000699312
91,155.976,1.16994,0.53808,0.90126,0.13644,0.61412,0.12864,0.04964,2.28355,3.94349,1.05318,0.000693125,0.000693125,0.000693125
92,157.585,1.16109,0.57641,0.89259,0.16552,0.78123,0.16516,0.0637,2.19393,3.70622,1.0311,0.000686937,0.000686937,0.000686937
93,159.184,1.12842,0.55577,0.86832,0.16275,0.79511,0.16647,0.06538,2.22435,3.43637,1.04082,0.00068075,0.00068075,0.00068075
94,160.778,1.15241,0.54456,0.88689,0.16098,0.83156,0.19713,0.07473,2.2328,2.94612,1.04661,0.000674562,0.000674562,0.000674562
95,162.387,1.08768,0.54813,0.8894,0.16032,0.83619,0.21496,0.08463,2.17383,2.8181,1.04282,0.000668375,0.000668375,0.000668375
96,163.98,1.10945,0.53363,0.8604,0.20448,0.41356,0.21337,0.08475,2.16409,2.87224,1.04925,0.000662188,0.000662188,0.000662188
97,165.558,1.07598,0.52598,0.87159,0.22026,0.35873,0.22904,0.08688,2.18554,2.9135,1.05713,0.000656,0.000656,0.000656
98,167.167,1.08437,0.53224,0.8705,0.2177,0.34827,0.22395,0.08455,2.20208,2.91826,1.06212,0.000649813,0.000649813,0.000649813
99,168.76,1.07123,0.52145,0.86311,0.2006,0.30693,0.22173,0.08593,2.19274,2.93702,1.05296,0.000643625,0.000643625,0.000643625
100,170.385,1.07217,0.52752,0.88705,0.20233,0.36018,0.22902,0.08598,2.21741,3.03303,1.0577,0.000637437,0.000637437,0.000637437
101,171.963,1.07473,0.52545,0.87857,0.15755,0.74808,0.22473,0.0821,2.22742,3.0649,1.0615,0.00063125,0.00063125,0.00063125
102,173.525,1.09203,0.51994,0.86822,0.15096,0.77354,0.19926,0.07302,2.24691,3.02573,1.05447,0.000625062,0.000625062,0.000625062
103,175.169,1.06129,0.50188,0.8664,0.18795,0.55477,0.20218,0.076,2.20725,2.91062,1.05745,0.000618875,0.000618875,0.000618875
